Count of elements - 100
Bus:   fuel tank capacity: 793; fuel consumption: 289; max passengers: 688; max distance: 2
Bus:   fuel tank capacity: 610; fuel consumption: 760; max passengers: 228; max distance: 0
Truck: fuel tank capacity: 90; fuel consumption: 782; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 48; fuel consumption: 167; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 961; fuel consumption: 209; max passengers: 877; max distance: 4
Bus:   fuel tank capacity: 90; fuel consumption: 833; max passengers: 986; max distance: 0
Car:   fuel tank capacity: 998; fuel consumption: 140; max speed: 717; max distance: 7
Bus:   fuel tank capacity: 727; fuel consumption: 41; max passengers: 100; max distance: 17
Car:   fuel tank capacity: 402; fuel consumption: 115; max speed: 560; max distance: 3
Truck: fuel tank capacity: 889; fuel consumption: 655; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 108; fuel consumption: 359; max passengers: 478; max distance: 0
Car:   fuel tank capacity: 424; fuel consumption: 990; max speed: 293; max distance: 0
Bus:   fuel tank capacity: 970; fuel consumption: 21; max passengers: 494; max distance: 46
Truck: fuel tank capacity: 11; fuel consumption: 964; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 725; fuel consumption: 768; max speed: 130; max distance: 0
Bus:   fuel tank capacity: 591; fuel consumption: 826; max passengers: 246; max distance: 0
Truck: fuel tank capacity: 931; fuel consumption: 82; lifting capacity: 0; max distance: 11
Bus:   fuel tank capacity: 615; fuel consumption: 977; max passengers: 165; max distance: 0
Car:   fuel tank capacity: 731; fuel consumption: 201; max speed: 459; max distance: 3
Bus:   fuel tank capacity: 195; fuel consumption: 520; max passengers: 742; max distance: 0
Truck: fuel tank capacity: 18; fuel consumption: 562; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 336; fuel consumption: 364; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 568; fuel consumption: 548; max passengers: 513; max distance: 1
Car:   fuel tank capacity: 225; fuel consumption: 358; max speed: 949; max distance: 0
Car:   fuel tank capacity: 887; fuel consumption: 789; max speed: 919; max distance: 1
Truck: fuel tank capacity: 413; fuel consumption: 601; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 527; fuel consumption: 930; max passengers: 973; max distance: 0
Truck: fuel tank capacity: 946; fuel consumption: 609; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 249; fuel consumption: 451; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 39; fuel consumption: 846; max passengers: 308; max distance: 0
Truck: fuel tank capacity: 143; fuel consumption: 896; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 417; fuel consumption: 936; max speed: 636; max distance: 0
Truck: fuel tank capacity: 812; fuel consumption: 202; lifting capacity: 0; max distance: 4
Car:   fuel tank capacity: 624; fuel consumption: 59; max speed: 137; max distance: 10
Bus:   fuel tank capacity: 630; fuel consumption: 591; max passengers: 480; max distance: 1
Truck: fuel tank capacity: 995; fuel consumption: 333; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 765; fuel consumption: 477; max passengers: 630; max distance: 1
Car:   fuel tank capacity: 176; fuel consumption: 823; max speed: 207; max distance: 0
Car:   fuel tank capacity: 839; fuel consumption: 768; max speed: 712; max distance: 1
Truck: fuel tank capacity: 828; fuel consumption: 18; lifting capacity: 0; max distance: 46
Car:   fuel tank capacity: 169; fuel consumption: 292; max speed: 845; max distance: 0
Car:   fuel tank capacity: 100; fuel consumption: 570; max speed: 131; max distance: 0
Bus:   fuel tank capacity: 786; fuel consumption: 432; max passengers: 170; max distance: 1
Bus:   fuel tank capacity: 14; fuel consumption: 985; max passengers: 934; max distance: 0
Truck: fuel tank capacity: 784; fuel consumption: 288; lifting capacity: 0; max distance: 2
