Count of elements - 10000
Car:   fuel tank capacity: 356; fuel consumption: 25; max speed: 293; max distance: 14
Bus:   fuel tank capacity: 445; fuel consumption: 325; max passengers: 755; max distance: 1
Bus:   fuel tank capacity: 630; fuel consumption: 113; max passengers: 130; max distance: 5
Car:   fuel tank capacity: 185; fuel consumption: 935; max speed: 408; max distance: 0
Truck: fuel tank capacity: 516; fuel consumption: 318; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 506; fuel consumption: 286; max speed: 335; max distance: 1
Car:   fuel tank capacity: 252; fuel consumption: 764; max speed: 316; max distance: 0
Car:   fuel tank capacity: 299; fuel consumption: 726; max speed: 449; max distance: 0
Bus:   fuel tank capacity: 808; fuel consumption: 676; max passengers: 431; max distance: 1
Bus:   fuel tank capacity: 230; fuel consumption: 342; max passengers: 949; max distance: 0
Car:   fuel tank capacity: 171; fuel consumption: 701; max speed: 765; max distance: 0
Bus:   fuel tank capacity: 129; fuel consumption: 3; max passengers: 208; max distance: 43
Bus:   fuel tank capacity: 809; fuel consumption: 829; max passengers: 321; max distance: 0
Truck: fuel tank capacity: 961; fuel consumption: 819; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 753; fuel consumption: 54; max passengers: 840; max distance: 13
Car:   fuel tank capacity: 638; fuel consumption: 342; max speed: 189; max distance: 1
Car:   fuel tank capacity: 313; fuel consumption: 101; max speed: 125; max distance: 3
Truck: fuel tank capacity: 631; fuel consumption: 712; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 361; fuel consumption: 792; max speed: 595; max distance: 0
Bus:   fuel tank capacity: 11; fuel consumption: 645; max passengers: 113; max distance: 0
Car:   fuel tank capacity: 105; fuel consumption: 473; max speed: 806; max distance: 0
Truck: fuel tank capacity: 465; fuel consumption: 992; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 332; fuel consumption: 491; max speed: 775; max distance: 0
Truck: fuel tank capacity: 433; fuel consumption: 388; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 101; fuel consumption: 217; max speed: 315; max distance: 0
Truck: fuel tank capacity: 362; fuel consumption: 269; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 261; fuel consumption: 274; max speed: 634; max distance: 0
Car:   fuel tank capacity: 154; fuel consumption: 144; max speed: 999; max distance: 1
Truck: fuel tank capacity: 951; fuel consumption: 492; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 191; fuel consumption: 537; max speed: 969; max distance: 0
Car:   fuel tank capacity: 378; fuel consumption: 585; max speed: 981; max distance: 0
Bus:   fuel tank capacity: 617; fuel consumption: 43; max passengers: 351; max distance: 14
Truck: fuel tank capacity: 827; fuel consumption: 749; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 892; fuel consumption: 56; lifting capacity: 0; max distance: 15
Truck: fuel tank capacity: 383; fuel consumption: 956; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 247; fuel consumption: 181; max speed: 167; max distance: 1
Bus:   fuel tank capacity: 609; fuel consumption: 227; max passengers: 127; max distance: 2
Truck: fuel tank capacity: 83; fuel consumption: 552; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 27; fuel consumption: 763; max passengers: 707; max distance: 0
Truck: fuel tank capacity: 392; fuel consumption: 609; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 765; fuel consumption: 826; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 293; fuel consumption: 489; max passengers: 673; max distance: 0
Truck: fuel tank capacity: 369; fuel consumption: 81; lifting capacity: 0; max distance: 4
Car:   fuel tank capacity: 563; fuel consumption: 112; max speed: 951; max distance: 5
Car:   fuel tank capacity: 110; fuel consumption: 167; max speed: 204; max distance: 0
Car:   fuel tank capacity: 144; fuel consumption: 801; max speed: 342; max distance: 0
Car:   fuel tank capacity: 629; fuel consumption: 933; max speed: 977; max distance: 0
Truck: fuel tank capacity: 214; fuel consumption: 771; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 172; fuel consumption: 339; max passengers: 977; max distance: 0
Truck: fuel tank capacity: 903; fuel consumption: 45; lifting capacity: 0; max distance: 20
Car:   fuel tank capacity: 555; fuel consumption: 227; max speed: 932; max distance: 2
Bus:   fuel tank capacity: 392; fuel consumption: 68; max passengers: 615; max distance: 5
Car:   fuel tank capacity: 858; fuel consumption: 147; max speed: 73; max distance: 5
Car:   fuel tank capacity: 844; fuel consumption: 56; max speed: 269; max distance: 15
Bus:   fuel tank capacity: 249; fuel consumption: 701; max passengers: 781; max distance: 0
Bus:   fuel tank capacity: 522; fuel consumption: 55; max passengers: 715; max distance: 9
Car:   fuel tank capacity: 586; fuel consumption: 292; max speed: 541; max distance: 2
Car:   fuel tank capacity: 111; fuel consumption: 364; max speed: 826; max distance: 0
Bus:   fuel tank capacity: 664; fuel consumption: 934; max passengers: 347; max distance: 0
Car:   fuel tank capacity: 53; fuel consumption: 470; max speed: 293; max distance: 0
Bus:   fuel tank capacity: 847; fuel consumption: 770; max passengers: 395; max distance: 1
Truck: fuel tank capacity: 347; fuel consumption: 404; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 23; fuel consumption: 847; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 821; fuel consumption: 731; max passengers: 780; max distance: 1
Car:   fuel tank capacity: 398; fuel consumption: 78; max speed: 717; max distance: 5
Truck: fuel tank capacity: 763; fuel consumption: 302; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 791; fuel consumption: 770; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 425; fuel consumption: 686; max speed: 851; max distance: 0
Truck: fuel tank capacity: 919; fuel consumption: 780; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 6; fuel consumption: 10; max speed: 279; max distance: 0
Bus:   fuel tank capacity: 493; fuel consumption: 796; max passengers: 122; max distance: 0
Car:   fuel tank capacity: 52; fuel consumption: 631; max speed: 960; max distance: 0
Truck: fuel tank capacity: 14; fuel consumption: 800; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 325; fuel consumption: 450; max speed: 361; max distance: 0
Car:   fuel tank capacity: 529; fuel consumption: 794; max speed: 201; max distance: 0
Bus:   fuel tank capacity: 851; fuel consumption: 75; max passengers: 558; max distance: 11
Car:   fuel tank capacity: 248; fuel consumption: 303; max speed: 428; max distance: 0
Bus:   fuel tank capacity: 175; fuel consumption: 26; max passengers: 496; max distance: 6
Car:   fuel tank capacity: 388; fuel consumption: 329; max speed: 557; max distance: 1
Car:   fuel tank capacity: 49; fuel consumption: 254; max speed: 657; max distance: 0
Car:   fuel tank capacity: 992; fuel consumption: 320; max speed: 533; max distance: 3
Car:   fuel tank capacity: 375; fuel consumption: 662; max speed: 694; max distance: 0
Bus:   fuel tank capacity: 465; fuel consumption: 109; max passengers: 965; max distance: 4
Bus:   fuel tank capacity: 950; fuel consumption: 273; max passengers: 619; max distance: 3
Bus:   fuel tank capacity: 782; fuel consumption: 833; max passengers: 676; max distance: 0
Car:   fuel tank capacity: 875; fuel consumption: 694; max speed: 282; max distance: 1
Bus:   fuel tank capacity: 320; fuel consumption: 919; max passengers: 932; max distance: 0
Bus:   fuel tank capacity: 890; fuel consumption: 168; max passengers: 90; max distance: 5
Truck: fuel tank capacity: 582; fuel consumption: 317; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 157; fuel consumption: 957; max passengers: 665; max distance: 0
Bus:   fuel tank capacity: 456; fuel consumption: 446; max passengers: 796; max distance: 1
Bus:   fuel tank capacity: 41; fuel consumption: 580; max passengers: 631; max distance: 0
Bus:   fuel tank capacity: 687; fuel consumption: 345; max passengers: 162; max distance: 1
Bus:   fuel tank capacity: 477; fuel consumption: 368; max passengers: 627; max distance: 1
Truck: fuel tank capacity: 530; fuel consumption: 589; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 367; fuel consumption: 203; max speed: 339; max distance: 1
Truck: fuel tank capacity: 427; fuel consumption: 528; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 572; fuel consumption: 313; max passengers: 901; max distance: 1
Bus:   fuel tank capacity: 357; fuel consumption: 304; max passengers: 927; max distance: 1
Truck: fuel tank capacity: 570; fuel consumption: 340; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 965; fuel consumption: 213; max passengers: 891; max distance: 4
Bus:   fuel tank capacity: 380; fuel consumption: 357; max passengers: 906; max distance: 1
Bus:   fuel tank capacity: 998; fuel consumption: 193; max passengers: 470; max distance: 5
Truck: fuel tank capacity: 334; fuel consumption: 33; lifting capacity: 0; max distance: 10
Truck: fuel tank capacity: 794; fuel consumption: 271; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 17; fuel consumption: 397; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 233; fuel consumption: 27; max speed: 159; max distance: 8
